filename,colour_1,weight_1,colour_2,weight_2,colour_3,weight_3,colour_4,weight_4,colour_5,weight_5
IMG_20210805_213127.png,"[116.66290226713288, 80.84420326213765, 30.89958084709209]",0.18575211773027622,"[172.1343184295076, 143.06134912883746, 116.39631013544756]",0.203182777518992,"[64.12346553037985, 39.52700265818601, 13.975996152962708]",0.10711718395068118,"[194.80916147026903, 175.81079274869205, 165.07822769487893]",0.2738844895306776,"[159.0046869622352, 114.25905322111352, 54.024661305958055]",0.23006343126937298
IMG_20210806_183214.png,"[224.07603178106396, 208.4897058359885, 180.746090424689]",0.18261362133314932,"[217.5189939376997, 188.03800058462366, 132.75261492317162]",0.11305200443961377,"[211.35021812220737, 139.4892050348523, 26.347365398748337]",0.15617434110265743,"[231.04509781374222, 224.41574794096485, 212.07650098464268]",0.3995681152919391,"[210.9435202498202, 164.86185592844657, 74.93620486921643]",0.14859191783264036
IMG_20210806_184822.png,"[96.44685372194729, 53.738592539246426, 39.802243437487945]",0.2783618153400602,"[138.24665351268214, 105.17850388479869, 90.95169596292783]",0.17579355046314385,"[52.09512784043506, 28.033341051177388, 19.19144643270861]",0.1294059001999678,"[161.52623379113206, 140.41924929892858, 130.08602382494695]",0.11998069276208426,"[118.8263622419201, 74.89298578338246, 59.11943721607113]",0.29645804123474384
IMG_20210806_194648.png,"[156.12512299760465, 145.77153933956492, 136.8775534301527]",0.07290924448939251,"[96.97985189438297, 63.775065149427256, 49.87177336521043]",0.31920294435378216,"[26.10065008220503, 16.409585165778935, 8.560447630415048]",0.17272795182384443,"[122.32095165981983, 102.27588085854588, 92.56460572778613]",0.20290987657158618,"[68.72517322449261, 39.093749030746494, 25.764166568452946]",0.23224998276139472
IMG_20210807_200706.png,"[65.8417630169857, 35.3125009699784, 27.966539923962756]",0.09279482888509337,"[213.97861973572935, 208.0005421523528, 193.53893418410635]",0.20641328663687755,"[195.69351907558848, 144.9570109224878, 59.85782778319732]",0.23231630522919794,"[192.15978321718768, 166.72948960484382, 131.55718780766458]",0.29717377177394777,"[140.52367205056515, 93.02007389887841, 55.96558399475659]",0.1713018074748834
IMG_20210807_214810.png,"[227.4221399311924, 107.48322464360501, 106.37296411598864]",0.21860706323120419,"[157.79550338629733, 46.11095011721794, 37.56223137535926]",0.1753396005240536,"[213.41850956746168, 80.37279585157378, 63.16918709011205]",0.24507837819201508,"[52.733503413964655, 12.992494269032399, 7.7506716951445185]",0.11669099225412002,"[119.0263371126996, 29.160619126201176, 21.16879883130546]",0.24428396579860712
IMG_20210808_172900.png,"[39.7006998536756, 34.15138191449945, 13.85889842239665]",0.181878957265842,"[179.51213186127276, 154.3918553555532, 112.29650836290747]",0.2472942509301911,"[153.16893532648757, 121.64072003029932, 66.96092409829083]",0.19458390122434427,"[198.94840964516465, 190.36306255785576, 175.78152997486234]",0.2200556101881085,"[158.9796587018155, 58.215004937645546, 27.874685051367855]",0.15618728039151414
IMG_20210808_182921.png,"[141.07560616483755, 25.84960836139403, 18.52941815416807]",0.23935815376475797,"[184.52547421952576, 40.64117543338512, 25.847521251717623]",0.3107283957007056,"[93.06015649207153, 15.567661527739144, 11.426847691352013]",0.14846683804035907,"[214.70902527073025, 65.73104129062101, 37.61721570396831]",0.25287252212618394,"[25.159563132642575, 7.131859350031533, 2.124193452907722]",0.04857409036799337
IMG_20210809_193119.png,"[192.1573523759635, 163.34949617605722, 114.93751914753713]",0.25832140043360996,"[130.67245990533297, 63.78262947474447, 25.04096319102215]",0.1563468649540799,"[206.28346490910167, 194.7361266024468, 176.03414210181182]",0.1987215982609596,"[40.57838230417991, 18.755893079878774, 7.325544310584576]",0.09072454266802385,"[187.2615867493919, 132.14777204992575, 52.89914341380274]",0.29588559368332673
IMG_20210809_215353.png,"[155.44324876286498, 27.045178435834828, 25.923965124496945]",0.10956270954459454,"[224.16537053484652, 105.79865548888017, 93.37714908765074]",0.19984300329520557,"[198.68034929402356, 45.20635575089918, 42.76566183048493]",0.36865759191208186,"[252.75742075486517, 163.78442997752265, 153.98806479113165]",0.03715732450011214,"[209.76311651540976, 71.90897186338769, 64.7566145056493]",0.2847793707480059
